question	answer	tags
What is Multi-Head Attention (MHA)?	Each head independently computes Attention(Q_i, K_i, V_i) with separate learned projections, then outputs are concatenated and projected. Multiple heads let the model attend to different relationship types (syntactic, semantic, positional) simultaneously.	systems microattention
What is Multi-Query Attention (MQA)?	All query heads share a single set of K and V projections. This reduces KV cache memory by N_heads x (since only 1 KV set is stored), dramatically speeding up autoregressive inference at the cost of some representational power.	systems microattention
What is Grouped-Query Attention (GQA)?	A middle ground between MHA and MQA: query heads are divided into groups, each group sharing one set of KV projections. With G groups and H heads, KV memory is H/G times smaller than MHA. Used in LLaMA 2, Mistral.	systems microattention
When should you use MHA vs GQA vs MQA?	MHA for maximum quality (training, small models). GQA for production LLM serving (best quality/speed tradeoff). MQA for extreme latency requirements. Sliding window attention for very long sequences where full attention is prohibitive.	systems microattention
What is sliding window attention?	Each token attends only to the W nearest tokens instead of the full sequence. Memory and compute drop from O(n^2) to O(n*W). Loses global context but sufficient for tasks where local context dominates (Mistral uses W=4096).	systems microattention
How does GQA preserve quality while reducing memory?	Adjacent attention heads often learn similar KV patterns. Grouping exploits this redundancy — heads within a group share KV projections but maintain independent query projections, preserving most of MHA's representational diversity.	systems microattention
What is Flash Attention?	An IO-aware exact attention algorithm that processes Q, K, V in tiles using online softmax, never materializing the full N*N attention score matrix. It computes the same result as standard attention but with O(N) memory instead of O(N^2).	systems microflash
What is the online softmax trick in Flash Attention?	Process blocks of scores sequentially, maintaining running maximum m and sum-of-exponentials l. When a new block arrives: rescale the old accumulator by exp(m_old - m_new), add the new block's contributions. This is numerically stable and exact.	systems microflash
When should you use Flash Attention?	Always for transformer inference and training when available — it's strictly better than standard attention (same result, less memory, often faster due to reduced memory bandwidth). The only exception: when you need to inspect the full attention matrix.	systems microflash
Why does Flash Attention reduce memory from O(N^2) to O(N)?	Standard attention materializes the full N*N score matrix S = QK^T. Flash Attention processes S in blocks of size B, computing softmax(S_block) * V_block and accumulating results. Only the current block (B*B) lives in memory at any time.	systems microflash
What is the memory-compute tradeoff of Flash Attention block size?	Larger blocks: fewer iterations, better arithmetic intensity, but more peak memory per block. Smaller blocks: less memory, but more overhead from rescaling and more iterations. Optimal block size depends on GPU SRAM capacity.	systems microflash
What is RoPE (Rotary Position Embedding)?	A position encoding that applies 2D rotation matrices to pairs of query/key dimensions. The rotation angle is position * frequency, where frequencies decrease exponentially across dimension pairs. This makes attention scores depend on relative position.	systems microrope
What is the core equation of RoPE?	For dimension pair (2i, 2i+1): [q'_2i, q'_2i+1] = [q_2i*cos(m*theta_i) - q_2i+1*sin(m*theta_i), q_2i*sin(m*theta_i) + q_2i+1*cos(m*theta_i)], where m is position and theta_i = base^(-2i/d).	systems microrope
When should you use RoPE vs learned position embeddings?	RoPE for any modern LLM — it generalizes to unseen sequence lengths (extrapolation), encodes relative position naturally, and adds zero parameters. Learned embeddings can't extrapolate beyond training length and waste parameters.	systems microrope
Why does RoPE encode relative position?	When computing q_m^T * k_n, the rotation matrices combine: the dot product depends only on (m-n), the relative distance. This emerges from the mathematical property that R(m)^T * R(n) = R(m-n) for rotation matrices.	systems microrope
How does RoPE handle different frequency bands?	Low-dimension pairs rotate fast (high frequency, capturing nearby positions), while high-dimension pairs rotate slowly (low frequency, capturing global position). This multi-scale encoding parallels sinusoidal embeddings but with multiplicative rather than additive application.	systems microrope
What is a KV cache and why is it needed?	During autoregressive generation, each new token requires attending to all previous tokens. Without caching, this recomputes K and V projections for all previous positions at every step. The KV cache stores these, reducing per-step compute from O(n*d^2) to O(d^2).	systems microkv
What is the memory cost of a KV cache?	Memory = 2 * n_layers * n_heads * head_dim * seq_len * bytes_per_param. For LLaMA-70B with 8K context: ~10GB. This is often the bottleneck for serving, not model weights, especially with long contexts or many concurrent requests.	systems microkv
When should you use a KV cache?	Always during autoregressive inference — it's a pure optimization with identical output. The only question is the caching strategy: dense (simple, pre-allocates), paged (memory-efficient, used by vLLM), or sliding window (bounded memory).	systems microkv
How does the KV cache change attention computation at each step?	Instead of computing K,V for all positions, only compute K_new, V_new for the current token and append to the cache. Attention is computed as softmax(q_new * [K_cached; K_new]^T / sqrt(d)) * [V_cached; V_new].	systems microkv
What is PagedAttention (vLLM)?	A memory management technique that stores KV cache in non-contiguous fixed-size pages (like OS virtual memory). A page table maps logical sequence positions to physical memory blocks. This eliminates fragmentation from pre-allocating maximum-length buffers.	systems micropaged
