question	answer	tags
What is LoRA (Low-Rank Adaptation)?	A fine-tuning method that freezes the base model and injects small trainable matrices A (d x r) and B (r x d) into attention layers. The weight update is W' = W + BA, where rank r << d. This trains ~0.1% of parameters while matching full fine-tuning quality.	alignment microlora
What is the core equation of LoRA?	h = Wx + (BA)x, where W is frozen (d x d), A is (d x r), B is (r x d), and r << d. The product BA is a rank-r perturbation to W. At inference, BA can be merged into W with zero additional latency.	alignment microlora
When should you use LoRA?	Use when fine-tuning large pretrained models with limited GPU memory. LoRA is ideal for task-specific adaptation (chatbots, domain experts) where you want multiple adapters sharing one base model. Not needed for training from scratch.	alignment microlora
Why does LoRA work (low-rank hypothesis)?	Weight updates during fine-tuning occupy a low-dimensional subspace — the model needs to adjust a few key directions, not all parameters. Rank r=4-16 captures these directions for most tasks, even with d=4096+ base dimensions.	alignment microlora
How do multiple LoRA adapters share a base model?	The frozen base model stays in memory once. Each task gets its own small A, B matrices (~1-10MB). Switching tasks means swapping adapters, not reloading billion-parameter models. This enables multi-tenant serving.	alignment microlora
What is QLoRA?	QLoRA combines 4-bit quantization of base model weights with full-precision LoRA adapters. The base model is quantized to INT4 (8x memory reduction), while the small adapter matrices remain in FP32 for gradient precision.	alignment microqlora
What is NF4 (Normal Float 4-bit) quantization?	NF4 uses quantization levels optimized for normally-distributed weights. Instead of uniform spacing, levels are placed at quantiles of N(0,1), minimizing expected quantization error for typical neural network weight distributions.	alignment microqlora
When should you use QLoRA vs LoRA?	Use QLoRA when GPU memory is the binding constraint (e.g., fine-tuning 7B+ models on consumer GPUs with 16-24GB VRAM). LoRA alone is sufficient when memory isn't tight. QLoRA trades slightly more compute for 4x less memory.	alignment microqlora
How does QLoRA maintain gradient quality with quantized weights?	Base weights are dequantized to FP32 for each forward pass, so the computation is nearly equivalent to full precision. Only the small LoRA adapters receive gradient updates, and those stay in FP32 throughout. Quantization error is typically <1%.	alignment microqlora
What is blockwise quantization?	Weights are divided into small blocks (e.g., 8-64 weights per block), each with its own scale factor. This captures local weight distribution better than a single global scale, reducing quantization error significantly.	alignment microqlora
What is Direct Preference Optimization (DPO)?	An alignment method that trains on (preferred, rejected) completion pairs using a contrastive loss, without a separate reward model or RL loop. The key insight: the optimal RLHF policy has a closed-form solution as a function of the reward.	alignment microdpo
What is the DPO loss equation?	L = -log(sigma(beta * (log(pi(y_w|x)/pi_ref(y_w|x)) - log(pi(y_l|x)/pi_ref(y_l|x))))). It increases the log-probability ratio of preferred (y_w) over rejected (y_l) completions, relative to a frozen reference model.	alignment microdpo
When should you use DPO vs PPO for alignment?	DPO is simpler (no reward model, no RL loop, just supervised learning on pairs) and more stable. Use PPO when you need a reward model for other purposes or when preference data is sparse and you need online data collection.	alignment microdpo
What does beta control in DPO?	Beta is the inverse temperature of the implicit reward model. Low beta (0.01) barely moves from the reference policy. High beta (1.0) aggressively reshapes the distribution toward preferred completions but risks mode collapse. Standard starting point: 0.1.	alignment microdpo
Why does DPO need a reference model?	The reference model (frozen copy of the initial policy) prevents the policy from degenerating. Without it, DPO could maximize the preferred/rejected gap by collapsing to a distribution that puts all probability mass on a few tokens.	alignment microdpo
What is PPO (Proximal Policy Optimization)?	A policy gradient algorithm that updates the policy by maximizing a clipped surrogate objective. The clip prevents destructively large updates: L = min(r_t * A_t, clip(r_t, 1-eps, 1+eps) * A_t), where r_t is the probability ratio and A_t is the advantage.	alignment microppo
What is the full RLHF pipeline?	Three stages: (1) Pretrain a language model on next-token prediction. (2) Train a reward model on human preference pairs (preferred > rejected). (3) Optimize the policy with PPO to maximize reward while staying close to the reference model via KL penalty.	alignment microppo
When should you use PPO-based RLHF?	Use when you have a reward model (or can build one) and need online optimization with exploration. PPO is more flexible than DPO — it can optimize arbitrary reward functions, not just pairwise preferences. More complex but more general.	alignment microppo
What does the PPO clip parameter (epsilon) do?	Epsilon limits the policy ratio r_t = pi_new/pi_old to [1-eps, 1+eps]. This prevents catastrophically large updates when the advantage estimate is noisy. Standard value: eps=0.2.	alignment microppo
Why does RLHF need a KL penalty against the reference model?	Without KL penalty, the policy would over-optimize the reward model, exploiting its imperfections rather than genuinely improving. The KL term keeps the policy close to the pretrained distribution, preventing reward hacking and mode collapse.	alignment microppo
What is GRPO (Group Relative Policy Optimization)?	A simplified RLHF method from DeepSeek that generates multiple completions per prompt, normalizes rewards within each group (z-score), and uses the normalized advantages directly. This eliminates the need for a value function entirely.	alignment microgrpo
How does GRPO eliminate the value function?	Instead of learning V(s) to compute advantages A = R - V(s), GRPO generates a group of G completions per prompt, computes each reward, and normalizes: A_i = (R_i - mean(R)) / std(R). The group statistics serve as a baseline.	alignment microgrpo
When should you use GRPO vs PPO?	GRPO is simpler (no value function to train, fewer hyperparameters). Use when you have a reliable reward signal and can afford to generate multiple completions per prompt. PPO is more sample-efficient but requires the value function overhead.	alignment microgrpo
What is the advantage of group-based normalization in GRPO?	Normalizing within each group automatically adapts the baseline to the prompt difficulty. Easy prompts (high mean reward) get tighter comparisons; hard prompts (low mean reward) still produce informative gradients.	alignment microgrpo
What is a Mixture of Experts (MoE)?	An architecture where a router network dispatches each token to a subset (top-k) of specialist MLP "experts." This scales model capacity (total parameters) without proportionally scaling per-token compute, since only k of N experts activate.	alignment micromoe
What is the load balancing auxiliary loss in MoE?	L_aux = N * sum_i(f_i * p_i), where f_i is the fraction of tokens routed to expert i and p_i is the average routing probability for expert i. This penalizes uneven expert utilization, preventing router collapse to a few experts.	alignment micromoe
When should you use MoE architectures?	Use when you want to scale model capacity without proportionally scaling inference cost. MoE shines in large models (Mixtral 8x7B = 47B params, 13B active). Not worth the complexity for small models where dense layers are sufficient.	alignment micromoe
How does the router work in MoE?	The router is a linear projection from token embedding to N expert scores, followed by softmax and top-k selection. Selected experts' outputs are weighted by their softmax probabilities and summed. The router is trained end-to-end with the main loss.	alignment micromoe
Why is expert collapse a problem in MoE?	Without load balancing, the router learns to send most tokens to the same 1-2 experts (positive feedback loop: more data = better expert = more routing). The remaining experts receive too few tokens to learn, wasting model capacity.	alignment micromoe
What is Batch Normalization?	A technique that normalizes each layer's activations to zero mean and unit variance within each mini-batch. This removes internal covariate shift (changing input distributions as earlier layers update), enabling higher learning rates and faster convergence.	alignment microbatchnorm
What is the batch normalization equation?	y = gamma * (x - mean_batch) / sqrt(var_batch + eps) + beta. mean and var are computed per mini-batch during training. gamma (scale) and beta (shift) are learnable parameters that let the model undo normalization if needed.	alignment microbatchnorm
