question	answer	tags
What is Byte-Pair Encoding (BPE)?	A compression algorithm that learns a vocabulary by iteratively merging the most frequent adjacent token pairs. GPT-2's variant starts from raw bytes rather than characters, producing a vocabulary that can encode any text without unknown tokens.	foundations microtokenizer
What is the core operation of BPE training?	Count all adjacent token pairs, merge the most frequent pair into a new token, repeat. Each merge step is a greedy compression decision that naturally discovers morphological units (like "an" + "a") without linguistic rules.	foundations microtokenizer
When should you use BPE tokenization?	Use BPE when you need a fixed-size vocabulary that handles open-vocabulary text (any language, code, special characters). Alternatives: WordPiece (BERT), SentencePiece (multilingual), or character-level (simpler but longer sequences).	foundations microtokenizer
What is the time complexity of BPE training?	O(n * M) where n is corpus length and M is number of merges. Each merge requires an O(n) scan. Production implementations use priority queues for O(n log n) total.	foundations microtokenizer
How does BPE encoding work at inference time?	Replay the learned merges in priority order (merge 0 first, then merge 1, etc.) on the input byte sequence. The ordering is critical: earlier merges represent more frequent patterns and must be applied first.	foundations microtokenizer
What is contrastive embedding learning?	A technique that transforms sparse features into dense vectors where distance reflects semantic similarity, using InfoNCE loss. Positive pairs (similar items) are pulled together while negative pairs are pushed apart in the embedding space.	foundations microembedding
What is the InfoNCE loss equation?	L = -log(exp(sim(z_i, z_j)/tau) / sum_k(exp(sim(z_i, z_k)/tau))). The numerator measures similarity between a positive pair; the denominator normalizes against all negatives. Temperature tau controls distribution sharpness.	foundations microembedding
When should you use contrastive embeddings?	Use when you need dense vector representations where similarity is meaningful (search, recommendation, clustering). Not suitable when you need generative capabilities or when labeled pairs are unavailable.	foundations microembedding
Why do character n-grams work well for name similarity?	N-grams capture local phonetic patterns. "anna" and "anne" share bigrams "an", "nn" and trigram "ann", giving high feature overlap despite differing by one character. This makes n-gram vectors sensitive to pronunciation similarity.	foundations microembedding
What is the role of temperature in InfoNCE loss?	Temperature (tau) controls how sharp the similarity distribution is. Lower tau makes the model more discriminative (sharper peaks), while higher tau produces softer distributions. It acts as a scaling factor on the logits before softmax.	foundations microembedding
What is a GPT (Generative Pre-trained Transformer)?	An autoregressive language model that predicts the next token using self-attention and feedforward layers. It learns P(token_t | token_1...token_{t-1}) via causal (left-to-right) masked attention.	foundations microgpt
What is the core equation of scaled dot-product attention?	Attention(Q,K,V) = softmax(QK^T / sqrt(d_k)) V. The 1/sqrt(d_k) scaling prevents dot products from growing with dimension, which would push softmax into saturation (near-one-hot outputs).	foundations microgpt
What is the Value class in scalar autograd?	A scalar that tracks its computation history (parent Values and local gradients). backward() traverses the graph in reverse topological order, accumulating gradients via the chain rule: dL/dx = sum of (dL/dout * dout/dx) over all paths.	foundations microgpt
When should you use a GPT-style decoder?	Use for text generation, code completion, or any autoregressive sequence modeling where you predict the next token. Not ideal for tasks requiring bidirectional context (classification, NER, sentence similarity).	foundations microgpt
How does causal masking work in GPT attention?	The attention score matrix is masked so position i can only attend to positions 0..i. Implemented by setting future positions to -infinity before softmax, producing zero attention weights for future tokens.	foundations microgpt
What is the key innovation of GPT's architecture?	Combining three ideas: (1) causal self-attention for sequence modeling, (2) stacked transformer blocks with residual connections, and (3) unsupervised pretraining on next-token prediction that transfers to downstream tasks.	foundations microgpt
What is BERT and how does it differ from GPT?	BERT is a bidirectional encoder that learns representations by predicting masked tokens (MLM). Unlike GPT's causal mask, BERT uses no mask — every token attends to every other token, using both left and right context.	foundations microbert
Why does BERT need more training steps than GPT?	Only ~15-25% of tokens are masked per example, so BERT gets fewer gradient signals per step. With short sequences (6-char names), that means 1-2 masked tokens per example versus GPT's full-sequence loss.	foundations microbert
When should you use BERT vs GPT?	BERT for understanding tasks (classification, NER, sentence similarity) where bidirectional context helps. GPT for generation tasks (text completion, dialogue) where autoregressive left-to-right decoding is required.	foundations microbert
What is the masked language modeling (MLM) objective?	Randomly mask ~15% of input tokens, then train the model to predict the original tokens at masked positions. This forces the model to build bidirectional representations since it cannot "cheat" by looking at the target.	foundations microbert
How does BERT's architecture compare to GPT's?	Identical transformer blocks (attention + MLP + residual connections) with one critical difference: no causal mask. This single change — bidirectional vs. unidirectional attention — determines the model's capabilities.	foundations microbert
What is an RNN and why did gating matter?	An RNN processes sequences by maintaining a hidden state h_t = f(W_h * h_{t-1} + W_x * x_t). Vanilla RNNs suffer from vanishing gradients. Gating (GRU, LSTM) adds learnable gates that control information flow, solving the gradient problem.	foundations micrornn
What is the GRU gating mechanism?	GRU uses two gates: update gate z_t controls how much old state to keep, reset gate r_t controls how much old state influences the candidate. h_t = (1-z_t)*h_{t-1} + z_t*candidate, where candidate = tanh(W*(r_t*h_{t-1}) + U*x_t).	foundations micrornn
When should you use RNNs vs Transformers?	RNNs have O(1) memory per step (constant regardless of sequence length) making them efficient for very long sequences with limited memory. Transformers have O(n^2) attention cost but capture long-range dependencies better and parallelize during training.	foundations micrornn
Why do vanilla RNNs have vanishing gradients?	During backpropagation through time, gradients multiply by the recurrent weight matrix at each step. If the largest singular value < 1, gradients shrink exponentially with sequence length, preventing learning of long-range dependencies.	foundations micrornn
How does a GRU differ from an LSTM?	GRU has 2 gates (update, reset) vs LSTM's 3 gates (input, forget, output) plus a separate cell state. GRU is simpler with fewer parameters, often performs comparably to LSTM, and is faster to train.	foundations micrornn
What is a Convolutional Neural Network (CNN)?	A neural network that extracts spatial features using learned sliding kernels (filters). Each kernel detects a specific pattern (edges, textures), and pooling provides translation invariance. Dominated computer vision before transformers.	foundations microconv
What is the convolution operation in a CNN?	A kernel (e.g., 3x3 matrix) slides over the input, computing element-wise multiplication and summation at each position. Output spatial dimension = (input_size - kernel_size + 2*padding) / stride + 1.	foundations microconv
When should you use CNNs?	Use for spatial pattern recognition (images, audio spectrograms, 1D signals) where local features matter. Not ideal for tasks requiring global context (use transformers) or sequential dependencies (use RNNs/SSMs).	foundations microconv
Why does max pooling provide translation invariance?	Max pooling takes the maximum value in each spatial region. A feature detected at slightly different positions produces the same pooled output, making the representation robust to small spatial shifts.	foundations microconv
What is Retrieval-Augmented Generation (RAG)?	A system that retrieves relevant documents from a knowledge base using a search algorithm (e.g., BM25), then conditions a generative model on the retrieved context to produce grounded, factual responses.	foundations microrag
What is BM25 scoring?	BM25(q,d) = sum over terms: IDF(t) * (tf(t,d) * (k1+1)) / (tf(t,d) + k1*(1 - b + b*|d|/avgdl)). It combines term frequency (with saturation parameter k1) and inverse document frequency, normalized by document length.	foundations microrag
When should you use RAG vs fine-tuning?	RAG for factual/knowledge-intensive tasks where the knowledge base changes frequently. Fine-tuning when the task requires style adaptation or reasoning patterns rather than factual recall. RAG avoids hallucination by grounding in retrieved documents.	foundations microrag
Why does RAG reduce hallucination?	The model generates conditioned on retrieved evidence rather than relying solely on parametric memory. If the retriever finds the correct document, the generator has the facts available in its context window.	foundations microrag
What is a Denoising Diffusion Probabilistic Model (DDPM)?	A generative model that learns to reverse a noise-adding process. Forward process gradually adds Gaussian noise over T steps until data becomes pure noise. A neural network learns to predict and remove the noise at each step, generating samples from noise.	foundations microdiffusion
What is the core equation of the diffusion forward process?	q(x_t | x_0) = N(x_t; sqrt(alpha_bar_t) * x_0, (1 - alpha_bar_t) * I), where alpha_bar_t = product of (1 - beta_i) for i=1..t. This allows jumping directly to any timestep without iterating.	foundations microdiffusion
When should you use diffusion models?	Use for high-quality sample generation (images, audio, 3D). Diffusion models produce diverse, high-fidelity samples but are slow at inference (require many denoising steps). Not suitable for real-time generation or discrete data.	foundations microdiffusion
Why does the diffusion model predict noise rather than the clean data directly?	Predicting the noise epsilon added at each step is mathematically equivalent to predicting the data, but empirically produces more stable training. The loss simplifies to MSE between predicted and actual noise: L = ||epsilon - epsilon_theta(x_t, t)||^2.	foundations microdiffusion
How do diffusion models compare to GANs and VAEs?	Diffusion models produce higher quality and more diverse samples than VAEs, and are more stable to train than GANs. The tradeoff is inference speed: diffusion requires many iterative steps, while GANs and VAEs generate in a single forward pass.	foundations microdiffusion
What is a Variational Autoencoder (VAE)?	A generative model that learns a compressed latent representation by encoding data into a distribution (not a point), then decoding samples from that distribution. Trained by maximizing the Evidence Lower Bound (ELBO).	foundations microvae
What is the reparameterization trick?	z = mu + sigma * epsilon, where epsilon ~ N(0,1). This makes sampling differentiable by moving the randomness to a parameter-free noise source. Gradients flow through mu and sigma while epsilon is treated as a constant input.	foundations microvae
What is the ELBO (Evidence Lower Bound)?	ELBO = E[log p(x|z)] - KL(q(z|x) || p(z)). The first term is reconstruction quality; the second term regularizes the latent space toward the prior N(0,I). Maximizing ELBO approximately maximizes log p(x).	foundations microvae
